Active Status,Item,Description,Price,Cost,Manufacturer
Active,ADEMCO:5800SS1,Wireless Shock Sensor,67.18,41.99,ADEMCO
Active,ADEMCO:5800ZBRIDGE,Honeywell Z-Wave Controller for Ademco Vista Panels.,59.99,40,ADEMCO
Active,ADEMCO:5802WXT,1-Button Personal Panic Transmitter,47.98,31.99,ADEMCO
Active,ADEMCO:5802WXT-2,2-Button Personal Panic Transmitter,47.98,29.99,ADEMCO
Active,ADEMCO:5806W3,Wireless Photoelectric Smoke Detector,97.86,64.99,ADEMCO
Not-active,ADEMCO:5808W3,Wireless Photoelectric Smoke & Heat Detector,95.98,59.99,ADEMCO
Not-active,ADEMCO:5809,Wireless Heat Detector,79.2,53.99,ADEMCO
Active,ADEMCO:5809SS,Wireless Heat Detector,79.2,53.99,ADEMCO
Active,ADEMCO:5811,Thin Door & Window Contact / Transmitter,42.4,26.5,ADEMCO
Active,ADEMCO:5814,Ultra Small Door & Window Contact / Transmitter,78.54,28.99,ADEMCO
Active,ADEMCO:5815,Door & Window Contact / Transmitter,42.4,26.5,ADEMCO
Active,ADEMCO:5816OD,Outdoor Wireless Contact / Transmitter,93.3,61.99,ADEMCO
Active,ADEMCO:5816WMBR,"Door & Window Contact / Transmitter, Brown",41.58,25.99,ADEMCO
Active,ADEMCO:5816WMWH,"Door & Window Contact / Transmitter, White",39.98,25.99,ADEMCO
Active,ADEMCO:5817,Three zone transmitter with three separate contact loops.,91.71,62.99,ADEMCO
Active,ADEMCO:5817CB,Commercial 3-Zone Universal Transmitter,99.1,67.99,ADEMCO
Active,ADEMCO:5817XT,3-Zone Universal Transmitter,91.71,62.99,ADEMCO
Active,ADEMCO:5818MNL,Recessed Door & Window Transmitter,45.6,30.99,ADEMCO
Active,ADEMCO:5819,Shock Processor & Transmitter,83.04,51.9,ADEMCO
Active,ADEMCO:5819WHS,"Wireless Integrated Shock Sensor, Processor, & Transmitter",71.98,44.99,ADEMCO
Active,ADEMCO:5820L,Door & Window Contact / Transmitter,45.6,30.5,ADEMCO
Active,ADEMCO:5821,Wireless Temperature Sensor & Flood Detector,71.06,45.99,ADEMCO
Active,ADEMCO:5822T,Wireless Tilt Sensor Transmitter,57.58,35.99,ADEMCO
Active,ADEMCO:5828,Wireless Fixed English Keypad,119.98,74.99,ADEMCO
Active,ADEMCO:5853,Wireless Glass Break Detector,102.38,63.99,ADEMCO
Active,ADEMCO:5870API-WH,Wireless Indoor Asset Protection,134.38,83.99,ADEMCO
Active,ADEMCO:5881ENH,"Unlimited-Zone Wireless Receiver, Zones Depend on Control Panel",159.97,92.72,ADEMCO
Active,ADEMCO:5881ENHC,"Commercial Unlimited-Zone Wireless Receiver, Zones Depend on Control Panel",268.78,175.99,ADEMCO
Active,ADEMCO:5881ENL,8-Zone Wireless Receiver,71.98,46.5,ADEMCO
Active,ADEMCO:5881ENM,16-Zone Wireless Receiver,97.53,62.99,ADEMCO
Active,ADEMCO:5898,Wireless K-Band Dual TEC Motion Sensor.,164.56,102.85,ADEMCO
